year,state,county,farms.full.owners,farms.part.owners,farms.managers,farms.tenants
1925,Arkansas,Baxter,923,81,0,505
1925,Arkansas,Benton,3335,408,33,1234
1925,Arkansas,Boone,1237,282,6,734
1925,Arkansas,Bradley,872,39,1,441
1925,Arkansas,Calhoun,855,48,2,484
1925,Arkansas,Carroll,1462,162,7,568
1925,Arkansas,Chicot,336,61,17,2669
1925,Arkansas,Clark,1208,385,5,1449
1925,Arkansas,Clay,1078,311,2,2452
1925,Arkansas,Cleburne,977,284,0,723
1925,Arkansas,Cleveland,1020,83,1,960
1925,Arkansas,Columbia,1765,198,2,2169
1925,Arkansas,Conway,1133,274,3,1765
1925,Arkansas,Craighead,1064,291,5,2978
1925,Arkansas,Crawford,1338,274,7,1465
1925,Arkansas,Crittenden,370,26,58,4608
1925,Arkansas,Cross,486,54,6,2091
1925,Arkansas,Dallas,787,105,2,323
1925,Arkansas,Desha,314,13,5,2393
1925,Arkansas,Drew,1013,87,8,1549
1925,Arkansas,Faulkner,1621,336,1,2185
1925,Arkansas,Franklin,1111,275,0,1488
1925,Arkansas,Fulton,1051,203,0,654
1925,Arkansas,Garland,1251,116,1,523
1925,Arkansas,Grant,1003,203,0,232
1925,Arkansas,Greene,1217,298,0,1941
1925,Arkansas,Hempstead,1628,201,5,2936
1925,Arkansas,Hot Spring,1194,195,0,502
1925,Arkansas,Howard,1037,156,3,1617
1925,Arkansas,Independence,1083,527,6,1584
1925,Arkansas,Izard,1303,121,0,1007
1925,Arkansas,Jackson,614,139,4,2692
1925,Arkansas,Jefferson,1027,83,34,5469
1925,Arkansas,Johnson,1209,305,0,1385
1925,Arkansas,Lafayette,982,126,2,1588
1925,Arkansas,Lawrence,773,198,3,1779
1925,Arkansas,Lee,827,96,26,3216
1925,Arkansas,Lincoln,623,84,4,2471
1925,Arkansas,Little River,815,152,3,1835
1925,Arkansas,Logan,1558,424,4,1801
1925,Arkansas,Lonoke,1347,80,32,3893
1925,Arkansas,Madison,1555,222,4,657
1925,Arkansas,Marion,736,170,1,732
1925,Arkansas,Miller,881,150,9,1644
1925,Arkansas,Mississippi,629,136,55,6096
1925,Arkansas,Monroe,625,50,7,2483
1925,Arkansas,Montgomery,826,164,1,615
1925,Arkansas,Nevada,1529,81,1,1696
1925,Arkansas,Newton,1091,222,0,512
1925,Arkansas,Ouachita,1084,94,6,700
1925,Arkansas,Perry,397,141,0,636
1925,Arkansas,Phillips,652,65,40,4085
1925,Arkansas,Pike,895,155,8,631
1925,Arkansas,Poinsett,434,79,4,1768
1925,Arkansas,Polk,1229,176,7,671
1925,Arkansas,Pope,1368,476,0,2009
1925,Arkansas,Prairie,849,116,9,1352
1925,Arkansas,Pulaski,1535,115,12,2788
1925,Arkansas,Randolph,1196,128,0,1670
1925,Arkansas,St Francis,821,60,29,4412
1925,Arkansas,Saline,829,243,3,370
1925,Arkansas,Scott,834,205,3,881
1925,Arkansas,Searcy,1406,120,2,656
1925,Arkansas,Sebastian,1255,313,4,1501
1925,Arkansas,Sevier,845,334,7,1077
1925,Arkansas,Sharp,1010,237,2,737
1925,Arkansas,Stone,926,195,0,465
1925,Arkansas,Union,1520,122,0,1027
1925,Arkansas,Van Buren,1086,324,0,697
1925,Arkansas,Washington,3313,388,71,1193
1925,Arkansas,White,2007,354,8,2236
1925,Arkansas,Woodruff,413,20,5,2339
1925,Arkansas,Yell,1167,306,2,2025
1925,California,Alameda,2360,227,66,496
1925,California,Alpine,17,3,2,1
1925,California,Amador,265,49,7,41
1925,California,Butte,1914,229,87,235
1925,California,Calaveras,427,143,10,42
1925,California,Colusa,739,125,46,229
1925,California,Contra Costa,1446,115,47,330
1925,California,Del Norte,91,10,2,50
1925,California,El Dorado,721,75,28,59
1925,California,Fresno,8818,247,600,797
1925,California,Glenn,1022,258,51,213
1925,California,Humboldt,1455,72,54,677
1925,California,Imperial,1248,97,356,1490
1925,California,Inyo,348,48,29,57
1925,California,Kern,1918,124,166,585
1925,California,Kings,1764,118,86,391
1925,California,Lake,761,79,35,103
1925,California,Lassen,323,52,7,43
1925,California,Los Angeles,9368,289,803,1921
1925,California,Madera,1273,92,79,277
1925,California,Marin,446,20,10,285
1925,California,Mariposa,200,40,5,31
1925,California,Mendocino,1366,144,42,257
1925,California,Merced,2550,282,210,680
1925,California,Modoc,457,104,12,97
1925,California,Mono,77,5,7,2
1925,California,Monterey,1145,133,103,541
1925,California,Napa,1370,66,55,196
1925,California,Nevada,309,72,4,23
1925,California,Orange,3582,241,229,414
1925,California,Placer,1036,87,158,167
1925,California,Plumas,138,20,11,12
1925,California,Riverside,3571,477,262,650
1925,California,Sacramento,3130,149,87,555
1925,California,San Benito,727,69,71,130
1925,California,San Bernardino,4856,237,319,285
1925,California,San Diego,3124,283,161,399
1925,California,San Francisco,17,0,0,0
1925,California,San Joaquin,3863,392,327,1058
1925,California,San Luis Obispo,1065,283,113,594
1925,California,San Mateo,548,28,120,283
1925,California,Santa Barbara,680,154,63,466
1925,California,Santa Clara,6205,99,185,470
1925,California,Santa Cruz,1847,55,51,279
1925,California,Shasta,896,139,32,128
1925,California,Sierra,54,11,0,3
1925,California,Siskiyou,711,72,22,147
1925,California,Solano,1086,139,49,248
1925,California,Sonoma,5248,228,152,722
1925,California,Stanislaus,3720,464,167,826
1925,California,Sutter,1197,225,63,209
1925,California,Tehama,1270,274,57,184
1925,California,Trinity,184,26,2,11
1925,California,Tulare,5269,431,637,769
1925,California,Tuolumne,423,89,18,48
1925,California,Ventura,1103,128,148,268
1925,California,Yolo,1064,183,137,468
1925,California,Yuba,449,92,59,104
1925,Colorado,Adams,977,316,21,559
1925,Colorado,Alamosa,175,59,3,63
1925,Colorado,Arapahoe,630,185,23,336
1925,Colorado,Archuleta,226,37,2,64
1925,Colorado,Baca,860,445,2,399
1925,Colorado,Bent,429,133,10,328
1925,Colorado,Boulder,836,124,5,527
1925,Colorado,Chaffee,184,21,1,41
1925,Colorado,Cheyenne,251,190,3,181
1925,Colorado,Clear Creek,8,2,2,4
1925,Colorado,Conejos,411,118,4,147
1925,Colorado,Costilla,250,39,0,40
1925,Colorado,Crowley,217,112,9,284
1925,Colorado,Custer,275,43,1,48
1925,Colorado,Delta,1040,154,19,423
1925,Colorado,Denver,238,31,2,36
1925,Colorado,Dolores,142,30,0,5
1925,Colorado,Douglas,257,24,5,115
1925,Colorado,Eagle,234,32,4,80
1925,Colorado,Elbert,561,297,5,418
1925,Colorado,El Paso,690,351,38,501
1925,Colorado,Fremont,755,168,10,194
1925,Colorado,Garfield,618,79,13,218
1925,Colorado,Gilpin,31,6,0,10
1925,Colorado,Grand,181,45,3,40
1925,Colorado,Gunnison,297,25,2,34
1925,Colorado,Hinsdale,24,10,1,3
1925,Colorado,Huerfano,730,113,6,154
1925,Colorado,Jackson,97,30,13,16
1925,Colorado,Jefferson,1380,155,44,372
1925,Colorado,Kiowa,291,170,6,225
1925,Colorado,Kit Carson,457,431,9,603
1925,Colorado,Lake,18,3,0,6
1925,Colorado,La Plata,592,127,1,253
1925,Colorado,Larimer,925,206,28,657
1925,Colorado,Las Animas,1294,299,14,336
1925,Colorado,Lincoln,426,488,10,355
1925,Colorado,Logan,515,523,17,861
1925,Colorado,Mesa,1351,362,26,460
1925,Colorado,Mineral,18,2,2,5
1925,Colorado,Moffat,529,113,3,67
1925,Colorado,Montezuma,438,124,2,164
1925,Colorado,Montrose,774,125,6,518
1925,Colorado,Morgan,602,342,13,735
1925,Colorado,Otero,743,216,11,449
1925,Colorado,Ouray,106,23,2,31
1925,Colorado,Park,122,60,3,34
1925,Colorado,Phillips,209,250,6,378
1925,Colorado,Pitkin,108,19,0,39
1925,Colorado,Prowers,461,276,4,453
1925,Colorado,Pueblo,770,257,28,479
1925,Colorado,Rio Blanco,304,53,7,58
1925,Colorado,Rio Grande,285,58,6,186
1925,Colorado,Routt,480,131,31,192
1925,Colorado,Saguache,186,58,4,98
1925,Colorado,San Juan,0,0,0,0
1925,Colorado,San Miguel,298,41,1,26
1925,Colorado,Sedgwick,223,96,8,305
1925,Colorado,Summit,59,0,0,10
1925,Colorado,Teller,114,41,1,30
1925,Colorado,Washington,654,721,7,602
1925,Colorado,Weld,2153,573,61,2823
1925,Colorado,Yuma,783,663,17,840
1925,Connecticut,Fairfield,2840,156,145,285
1925,Connecticut,Hartford,3953,345,57,308
1925,Connecticut,Litchfield,2862,177,142,264
1925,Connecticut,Middlesex,1673,97,27,59
1925,Connecticut,New Haven,2416,192,30,123
1925,Connecticut,New London,2489,61,44,240
1925,Connecticut,Tolland,1841,50,24,70
1925,Connecticut,Windham,2046,60,25,139
1925,Delaware,Kent,1745,28,28,1242
1925,Delaware,New Castle,1099,25,32,811
1925,Delaware,Sussex,3475,143,14,1615
1925,District Of Columbia,District Of Columbia,74,7,19,39
1925,Florida,Alachua,1733,130,11,541
1925,Florida,Baker,266,14,0,88
1925,Florida,Bay,187,12,12,25
1925,Florida,Bradford,715,14,4,95
1925,Florida,Brevard,908,5,18,18
1925,Florida,Broward,163,12,3,153
1925,Florida,Calhoun,407,38,3,200
1925,Florida,Charlotte,133,2,4,9
1925,Florida,Citrus,211,14,0,60
1925,Florida,Clay,300,15,6,41
1925,Florida,Collier,64,0,15,0
1925,Florida,Columbia,736,68,0,410
1925,Florida,Dade,864,23,27,260
1925,Florida,DeSoto,498,1,1,0
1925,Florida,Dixie,142,3,0,38
1925,Florida,Duval,811,8,3,149
1925,Florida,Escambia,850,29,11,243
1925,Florida,Flagler,138,12,7,20
1925,Florida,Franklin,18,1,0,7
1925,Florida,Gadsden,1163,71,49,375
1925,Florida,Glades,95,6,0,65
1925,Florida,Hamilton,580,25,9,384
1925,Florida,Hardee,136,1,0,12
1925,Florida,Hardee,840,56,32,219
1925,Florida,Hernando,317,8,16,34
1925,Florida,Highlands,477,1,22,2
1925,Florida,Hillsborough,2007,32,178,257
1925,Florida,Holmes,740,90,6,628
1925,Florida,Jackson,1951,208,29,1510
1925,Florida,Jefferson,751,50,15,792
1925,Florida,Lafayette,398,5,1,110
1925,Florida,Lake,1194,43,124,20
1925,Florida,Lee,591,11,6,53
1925,Florida,Leon,478,153,10,1073
1925,Florida,Levy,632,49,1,181
1925,Florida,Liberty,201,23,0,31
1925,Florida,Madison,580,66,4,693
1925,Florida,Manatee,797,3,3,120
1925,Florida,Marion,1871,214,7,255
1925,Florida,Monroe,55,2,5,15
1925,Florida,Nassau,486,3,0,19
1925,Florida,Okaloosa,593,40,2,238
1925,Florida,Okeechobee,138,10,7,4
1925,Florida,Orange,1389,12,40,69
1925,Florida,Osceola,507,1,1,7
1925,Florida,Palm Beach,604,98,23,447
1925,Florida,Pasco,683,6,6,19
1925,Florida,Pinellas,688,2,52,8
1925,Florida,Polk,3593,32,78,353
1925,Florida,Putnam,873,40,12,45
1925,Florida,St Johns,298,16,14,53
1925,Florida,St Lucie,1008,0,49,33
1925,Florida,Santa Rosa,724,59,12,287
1925,Florida,Sarasota,113,0,9,4
1925,Florida,Seminole,772,6,1,32
1925,Florida,Sumter,733,91,2,437
1925,Florida,Suwannee,997,78,7,493
1925,Florida,Taylor,330,17,1,117
1925,Florida,Union,426,11,4,141
1925,Florida,Volusia,1478,17,22,61
1925,Florida,Wakulla,289,78,0,65
1925,Florida,Walton,782,19,21,222
1925,Florida,Washington,876,54,5,281
1925,Georgia,Appling,696,23,0,772
1925,Georgia,Atkinson,256,12,0,316
1925,Georgia,Bacon,381,16,0,357
1925,Georgia,Baker,217,22,5,746
1925,Georgia,Baldwin,254,19,10,684
1925,Georgia,Banks,440,28,0,1179
1925,Georgia,Barrow,397,60,0,1239
1925,Georgia,Bartow,650,96,9,1889
1925,Georgia,Ben Hill,429,42,5,474
1925,Georgia,Berrien,493,54,3,713
1925,Georgia,Bibb,513,74,5,587
1925,Georgia,Bleckley,273,1,49,602
1925,Georgia,Brantley,512,12,0,163
1925,Georgia,Brooks,924,66,33,1249
1925,Georgia,Bryan,466,26,0,146
1925,Georgia,Bulloch,1161,128,2,2202
1925,Georgia,Burke,451,75,45,3106
1925,Georgia,Butts,282,41,2,878
1925,Georgia,Calhoun,181,10,3,1184
1925,Georgia,Camden,262,24,0,50
1925,Georgia,Campbell,422,74,4,871
1925,Georgia,Candler,462,5,2,724
1925,Georgia,Carroll,1721,164,0,3032
1925,Georgia,Catoosa,572,21,5,448
1925,Georgia,Charlton,254,8,0,72
1925,Georgia,Chatham,332,55,4,213
1925,Georgia,Chattahoochee,133,13,0,360
1925,Georgia,Chattooga,555,38,6,1052
1925,Georgia,Cherokee,1121,69,9,1185
1925,Georgia,Clarke,273,69,13,780
1925,Georgia,Clay,153,52,1,824
1925,Georgia,Clayton,518,47,2,959
1925,Georgia,Clinch,257,1,0,55
1925,Georgia,Cobb,1298,73,14,1754
1925,Georgia,Coffee,753,37,4,864
1925,Georgia,Colquitt,879,85,8,1679
1925,Georgia,Columbia,326,31,8,1052
1925,Georgia,Cook,461,17,9,693
1925,Georgia,Coweta,489,114,31,1548
1925,Georgia,Crawford,345,31,9,693
1925,Georgia,Crisp,350,14,14,1074
1925,Georgia,Dade,253,60,2,133
1925,Georgia,Dawson,327,20,0,327
1925,Georgia,Decatur,925,71,13,863
1925,Georgia,DeKalb,1057,72,9,1233
1925,Georgia,Dodge,854,68,22,1648
1925,Georgia,Dooly,539,52,14,1653
1925,Georgia,Dougherty,207,29,43,464
1925,Georgia,Douglas,518,36,3,814
1925,Georgia,Early,454,67,8,1788
1925,Georgia,Echols,211,3,0,54
1925,Georgia,Effingham,547,135,0,317
1925,Georgia,Elbert,658,67,2,1993
1925,Georgia,Emanuel,766,63,6,2043
1925,Georgia,Evans,271,28,1,440
1925,Georgia,Fannin,1003,96,1,423
1925,Georgia,Fayette,417,26,10,1213
1925,Georgia,Floyd,932,63,9,1642
1925,Georgia,Forsyth,875,131,1,837
1925,Georgia,Franklin,825,105,2,2225
1925,Georgia,Fulton,457,44,10,466
1925,Georgia,Gilmer,908,28,0,408
1925,Georgia,Glascock,203,28,0,477
1925,Georgia,Glynn,274,16,2,32
1925,Georgia,Gordon,758,42,5,1201
1925,Georgia,Grady,957,75,13,1128
1925,Georgia,Greene,479,22,8,1355
1925,Georgia,Gwinnett,1149,205,6,2370
1925,Georgia,Habersham,730,109,30,559
1925,Georgia,Hall,1032,98,5,1685
1925,Georgia,Hancock,437,37,1,1303
1925,Georgia,Haralson,753,93,2,988
1925,Georgia,Harris,460,20,4,1261
1925,Georgia,Hart,610,58,1,2213
1925,Georgia,Heard,578,52,0,1218
1925,Georgia,Henry,620,70,3,1502
1925,Georgia,Houston,237,48,42,1034
1925,Georgia,Irwin,494,25,1,931
1925,Georgia,Jackson,687,98,3,2182
1925,Georgia,Jasper,372,54,5,1059
1925,Georgia,Jeff Davis,445,11,2,423
1925,Georgia,Jefferson,456,80,11,2081
1925,Georgia,Jenkins,397,31,5,1267
1925,Georgia,Johnson,340,14,0,1207
1925,Georgia,Jones,323,29,18,469
1925,Georgia,Lamar,271,36,15,434
1925,Georgia,Lanier,245,4,2,264
1925,Georgia,Laurens,1026,79,12,2954
1925,Georgia,Lee,154,22,33,773
1925,Georgia,Liberty,699,120,3,137
1925,Georgia,Lincoln,389,22,2,826
1925,Georgia,Long,330,8,0,147
1925,Georgia,Lowndes,712,80,5,979
1925,Georgia,Lumpkin,516,12,1,354
1925,Georgia,McDuffie,288,41,3,927
1925,Georgia,McIntosh,313,93,1,54
1925,Georgia,Macon,406,18,37,1382
1925,Georgia,Madison,573,126,4,1983
1925,Georgia,Marion,345,14,7,667
1925,Georgia,Meriwether,664,100,10,2023
1925,Georgia,Miller,306,47,4,829
1925,Georgia,Milton,541,6,0,664
1925,Georgia,Mitchell,716,28,30,1726
1925,Georgia,Monroe,448,18,13,766
1925,Georgia,Montgomery,342,32,5,869
1925,Georgia,Morgan,355,40,35,1152
1925,Georgia,Murray,553,28,6,785
1925,Georgia,Muscogee,103,8,4,275
1925,Georgia,Newton,439,88,26,1405
1925,Georgia,Oconee,293,25,3,904
1925,Georgia,Oglethorpe,505,50,1,1607
1925,Georgia,Paulding,803,55,0,900
1925,Georgia,Peach,137,19,48,421
1925,Georgia,Pickens,557,50,3,506
1925,Georgia,Pierce,548,12,1,580
1925,Georgia,Pike,349,52,14,1258
1925,Georgia,Polk,596,27,0,1392
1925,Georgia,Pulaski,277,17,27,726
1925,Georgia,Putnam,295,20,8,734
1925,Georgia,Quitman,94,12,2,424
1925,Georgia,Rabun,386,88,3,174
1925,Georgia,Randolph,345,20,10,2103
1925,Georgia,Richmond,550,48,18,821
1925,Georgia,Rockdale,313,33,3,599
1925,Georgia,Schley,146,2,2,461
1925,Georgia,Screven,772,84,7,1997
1925,Georgia,Seminole,274,37,1,545
1925,Georgia,Spalding,327,47,16,947
1925,Georgia,Stephens,458,9,1,909
1925,Georgia,Stewart,206,22,26,854
1925,Georgia,Sumter,476,25,53,1441
1925,Georgia,Talbot,278,31,5,540
1925,Georgia,Taliaferro,259,34,11,713
1925,Georgia,Tattnall,803,29,2,938
1925,Georgia,Taylor,445,5,13,900
1925,Georgia,Telfair,688,80,15,1109
1925,Georgia,Terrell,276,11,17,1871
1925,Georgia,Thomas,879,80,25,1252
1925,Georgia,Tift,376,43,7,948
1925,Georgia,Toombs,435,21,6,1132
1925,Georgia,Towns,461,17,0,182
1925,Georgia,Treutlen,307,39,0,780
1925,Georgia,Troup,514,37,16,1567
1925,Georgia,Turner,272,45,7,973
1925,Georgia,Twiggs,290,21,4,554
1925,Georgia,Union,701,140,2,388
1925,Georgia,Upson,362,18,35,891
1925,Georgia,Walker,1194,177,11,954
1925,Georgia,Walton,524,89,2,2110
1925,Georgia,Ware,509,24,2,322
1925,Georgia,Warren,266,9,10,1011
1925,Georgia,Washington,650,38,14,2485
1925,Georgia,Wayne,565,23,2,494
1925,Georgia,Webster,143,22,5,534
1925,Georgia,Wheeler,409,26,6,636
1925,Georgia,White,381,28,7,336
1925,Georgia,Whitfield,790,33,2,624
1925,Georgia,Wilcox,403,39,14,993
1925,Georgia,Wilkes,589,78,4,1689
1925,Georgia,Wilkinson,509,14,2,475
1925,Georgia,Worth,682,71,19,1532
1925,Hawaii Territory,Hawaii,,,,
1925,Hawaii Territory,Honolulu,,,,
1925,Hawaii Territory,Kalawao,,,,
1925,Hawaii Territory,Kauai,,,,
1925,Hawaii Territory,Maui,,,,
1925,Idaho,Ada,1321,166,45,661
1925,Idaho,Adams,288,84,4,61
1925,Idaho,Bannock,1618,190,30,376
1925,Idaho,Bear Lake,626,119,5,49
1925,Idaho,Benewah,317,45,7,108
1925,Idaho,Bingham,1392,207,16,678
1925,Idaho,Blaine,178,48,3,57
1925,Idaho,Boise,163,13,0,24
1925,Idaho,Bonner,982,27,5,93
1925,Idaho,Bonneville,804,149,52,535
1925,Idaho,Boundary,256,6,4,38
1925,Idaho,Butte,174,35,1,78
1925,Idaho,Camas,125,87,0,39
1925,Idaho,Canyon,1960,226,30,929
1925,Idaho,Caribou,107,55,5,24
1925,Idaho,Cassia,775,198,17,390
1925,Idaho,Clark,95,27,13,15
1925,Idaho,Clearwater,286,59,6,87
1925,Idaho,Custer,260,20,5,48
1925,Idaho,Elmore,271,77,3,56
1925,Idaho,Franklin,781,122,7,121
1925,Idaho,Fremont,565,165,22,455
1925,Idaho,Gem,395,96,15,130
1925,Idaho,Gooding,486,108,22,285
1925,Idaho,Idaho,823,351,11,323
1925,Idaho,Jefferson,769,102,10,282
1925,Idaho,Jerome,267,134,6,378
1925,Idaho,Kootenai,933,185,8,162
1925,Idaho,Latah,939,118,3,226
1925,Idaho,Lemhi,371,29,20,75
1925,Idaho,Lewis,252,160,0,210
1925,Idaho,Lincoln,203,49,2,98
1925,Idaho,Madison,466,167,4,244
1925,Idaho,Minidoka,523,100,6,314
1925,Idaho,Nez Perce,561,245,11,348
1925,Idaho,Oneida,722,181,1,118
1925,Idaho,Owyhee,541,84,10,151
1925,Idaho,Payette,496,85,21,166
1925,Idaho,Power,411,189,10,184
1925,Idaho,Shoshone,104,3,3,8
1925,Idaho,Teton,335,125,4,86
1925,Idaho,Twin Falls,1253,315,42,889
1925,Idaho,Valley,153,113,1,67
1925,Idaho,Washington,610,174,21,220
1925,Idaho,Yellowstone National Park,,,,
1925,Illinois,Adams,1677,499,23,1233
1925,Illinois,Alexander,269,38,3,558
1925,Illinois,Bond,638,413,7,548
1925,Illinois,Boone,558,64,9,582
1925,Illinois,Brown,670,152,6,398
1925,Illinois,Bureau,1114,259,22,1590
1925,Illinois,Calhoun,612,198,8,277
1925,Illinois,Carroll,829,129,29,755
1925,Illinois,Cass,445,159,16,480
1925,Illinois,Champaign,800,527,44,2086
1925,Illinois,Christian,780,478,13,1424
1925,Illinois,Clark,1474,504,12,562
1925,Illinois,Clay,1128,552,30,601
1925,Illinois,Clinton,512,375,12,901
1925,Illinois,Coles,855,458,28,965
1925,Illinois,Cook,2520,390,94,1589
1925,Illinois,Crawford,1146,388,13,476
1925,Illinois,Cumberland,778,507,5,607
1925,Illinois,DeKalb,874,173,28,1341
1925,Illinois,De Witt,404,187,23,894
1925,Illinois,Douglas,521,164,8,886
1925,Illinois,Dupage,761,63,26,627
1925,Illinois,Edgar,896,371,20,1065
1925,Illinois,Edwards,566,331,2,238
1925,Illinois,Effingham,1073,494,10,562
1925,Illinois,Fayette,1351,953,19,1147
1925,Illinois,Ford,332,153,8,1113
1925,Illinois,Franklin,1629,258,10,495
1925,Illinois,Fulton,1373,330,32,1348
1925,Illinois,Gallatin,352,329,7,454
1925,Illinois,Greene,701,374,18,818
1925,Illinois,Grundy,345,145,6,901
1925,Illinois,Hamilton,1524,489,7,603
1925,Illinois,Hancock,1497,405,28,1187
1925,Illinois,Hardin,448,115,4,189
1925,Illinois,Henderson,416,143,15,560
1925,Illinois,Henry,1100,292,42,1552
1925,Illinois,Iroquois,882,471,26,2396
1925,Illinois,Jackson,1457,239,12,788
1925,Illinois,Jasper,1081,931,6,603
1925,Illinois,Jefferson,2166,631,13,723
1925,Illinois,Jersey,652,192,17,585
1925,Illinois,Jo Daviess,1355,157,7,596
1925,Illinois,Johnson,1149,162,16,363
1925,Illinois,Kane,1020,109,37,984
1925,Illinois,Kankakee,890,283,8,1214
1925,Illinois,Kendall,375,74,12,616
1925,Illinois,Knox,1008,364,13,1201
1925,Illinois,Lake,1091,180,108,631
1925,Illinois,La Salle,1356,510,15,2117
1925,Illinois,Lawrence,669,323,11,501
1925,Illinois,Lee,901,260,21,1353
1925,Illinois,Livingston,886,428,8,2425
1925,Illinois,Logan,495,256,24,1371
1925,Illinois,McDonough,941,343,44,1269
1925,Illinois,McHenry,1302,134,55,1253
1925,Illinois,McLean,1086,467,58,2577
1925,Illinois,Macon,751,287,30,1373
1925,Illinois,Macoupin,1478,397,13,1486
1925,Illinois,Madison,1542,476,13,1399
1925,Illinois,Marion,1460,747,21,666
1925,Illinois,Marshall,344,151,9,658
1925,Illinois,Mason,364,224,19,877
1925,Illinois,Massac,812,112,7,231
1925,Illinois,Menard,381,147,5,491
1925,Illinois,Mercer,778,208,23,817
1925,Illinois,Monroe,477,240,1,689
1925,Illinois,Montgomery,1245,529,12,1159
1925,Illinois,Morgan,996,376,24,930
1925,Illinois,Moultrie,434,233,6,730
1925,Illinois,Ogle,1079,211,31,1301
1925,Illinois,Peoria,1055,326,22,1015
1925,Illinois,Perry,1197,342,2,458
1925,Illinois,Piatt,324,170,48,798
1925,Illinois,Pike,1336,491,29,1207
1925,Illinois,Pope,969,213,1,342
1925,Illinois,Pulaski,566,160,10,439
1925,Illinois,Putnam,142,65,5,233
1925,Illinois,Randolph,986,478,14,750
1925,Illinois,Richland,1030,451,7,409
1925,Illinois,Rock Island,910,217,16,714
1925,Illinois,St Clair,1233,394,10,1395
